"Zone","Intended Tariff ID","Date","Desired Start","Configured Start","Start Time Match","Desired End","Configured End","End Time Match","RowGUID","Duplicate Eventday Entry"
"61726","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","f5dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61730","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","f6dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61733","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","f7dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61734","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","f8dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61735","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","fadcbbc7-d464-ed11-80e9-0a94ef448f59",
"61748","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","fcdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61765","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","ffdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61771","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","03ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61772","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","0bddbbc7-d464-ed11-80e9-0a94ef448f59",
"61775","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","0fddbbc7-d464-ed11-80e9-0a94ef448f59",
"61780","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","11ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61781","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","14ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61792","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","17ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61793","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","18ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61794","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","19ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61798","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","1addbbc7-d464-ed11-80e9-0a94ef448f59",
"61805","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","1bddbbc7-d464-ed11-80e9-0a94ef448f59",
"61806","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","1cddbbc7-d464-ed11-80e9-0a94ef448f59",
"61812","61708","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","1dddbbc7-d464-ed11-80e9-0a94ef448f59",
"61709","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","20ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61710","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","21ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61711","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","22ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61712","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","24ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61713","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","28ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61714","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","2addbbc7-d464-ed11-80e9-0a94ef448f59",
"61720","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","2cddbbc7-d464-ed11-80e9-0a94ef448f59",
"61729","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","2dddbbc7-d464-ed11-80e9-0a94ef448f59",
"61745","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","2eddbbc7-d464-ed11-80e9-0a94ef448f59",
"61747","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","2fddbbc7-d464-ed11-80e9-0a94ef448f59",
"61749","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","31ddbbc7-d464-ed11-80e9-0a94ef448f59",
"61751","61709","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","33ddbbc7-d464-ed11-80e9-0a94ef448f59",
